date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:18:22	439107/439107	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2014:18:22%20GMT	https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoif46a.html	(from )
21:18:23	24/24	---M--	200	added ('OK')	text/plain	etag:%2266f1409e-18%22	https://thiepcuoionline.huythanhjewelry.vn/robots.txt		(from )
21:18:23	439107/439107	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2014:18:22%20GMT	https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi.html	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:24	3270/3270	---M-Z	200	added ('OK')	text/css	etag:%225ee8c5ad-cc6%22	https://cdnjs.cloudflare.com/ajax/libs/croppie/2.6.5/croppie.min.css	C:/My%20Web%20Sites/anh%20cuoi/cdnjs.cloudflare.com/ajax/libs/croppie/2.6.5/croppie.min.css	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:24	24284/24284	---M-Z	200	added ('OK')	application/javascript	etag:%225ee8c5ad-5edc%22	https://cdnjs.cloudflare.com/ajax/libs/croppie/2.6.5/croppie.min.js	C:/My%20Web%20Sites/anh%20cuoi/cdnjs.cloudflare.com/ajax/libs/croppie/2.6.5/croppie.min.js	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:24	16166/16166	---M-Z	200	added ('OK')	text/css	etag:W/%223f26-J8BN8VjBcy9mnostEH/TFP6t00A%22	https://cdn.jsdelivr.net/npm/flatpickr/dist/flatpickr.min.css	C:/My%20Web%20Sites/anh%20cuoi/cdn.jsdelivr.net/npm/flatpickr/dist/flatpickr.min.css	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:25	373/373	---M-Z	200	added ('OK')	text/css	etag:W/%22175-rnX1TbUBtFniKw4ITiiitovevIE%22	https://cdn.jsdelivr.net/npm/flatpickr/dist/plugins/confirmDate/confirmDate.css	C:/My%20Web%20Sites/anh%20cuoi/cdn.jsdelivr.net/npm/flatpickr/dist/plugins/confirmDate/confirmDate.css	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:25	5083/5083	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213db-N+iHbN+vkf5gJuB4q5N8a7smYYA%22	https://cdn.jsdelivr.net/npm/flatpickr/dist/plugins/confirmDate/confirmDate.js	C:/My%20Web%20Sites/anh%20cuoi/cdn.jsdelivr.net/npm/flatpickr/dist/plugins/confirmDate/confirmDate.js	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:26	155659/155659	---MCZ	200	added ('OK')	text/css	etag:W/%2264454cb0-2600b%22	https://nhuhuy-tuyetmai.iwedding.info/templates/template19/css/bootstrap.min.css?v=20240713	C:/My%20Web%20Sites/anh%20cuoi/nhuhuy-tuyetmai.iwedding.info/templates/template19/css/bootstrap.min241a.css	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:26	29871/29871	---MCZ	200	added ('OK')	text/css	etag:W/%2265d336e0-74af%22	https://nhuhuy-tuyetmai.iwedding.info/templates/template19/css/libs.css?v=20240713	C:/My%20Web%20Sites/anh%20cuoi/nhuhuy-tuyetmai.iwedding.info/templates/template19/css/libs241a.css	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
